EmployeeID,Name,Department,JoiningDate,Role
E001,Employee1,Sales,2022-01-24,Executive
E002,Employee2,HR,2022-04-08,Coordinator
E003,Employee3,Marketing,2022-12-04,Analyst
E004,Employee4,Finance,2022-02-19,Accountant
E005,Employee5,Tech,2022-01-01,Developer
E006,Employee6,Sales,2022-04-08,Executive
E007,Employee7,Finance,2022-10-01,Accountant
E008,Employee8,Finance,2022-04-23,Accountant
E009,Employee9,Finance,2022-07-08,Accountant
E010,Employee10,Tech,2022-10-09,Developer
E011,Employee11,Sales,2022-03-23,Executive
E012,Employee12,Tech,2022-06-09,Developer
E013,Employee13,Marketing,2022-04-25,Analyst
E014,Employee14,HR,2022-02-03,Coordinator
E015,Employee15,Tech,2022-02-12,Developer
E016,Employee16,HR,2022-10-09,Coordinator
E017,Employee17,Sales,2022-12-15,Executive
E018,Employee18,Finance,2022-02-13,Accountant
E019,Employee19,Sales,2022-09-10,Executive
E020,Employee20,Finance,2022-06-19,Accountant
